City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
171,Tucuman,AR,77.0,overcast clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
174,Kampene,CD,77.63,broken clouds,-3.6,26.6667,
175,Grants,US,88.03,few clouds,35.1473,-107.8514,"Motel 6 Grants, NM"
178,Ifo,NG,75.88,light rain,6.8144,3.1958,Peace Land Hotel
179,Coahuayana,MX,87.57,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
184,Cornwall,CA,86.25,clear sky,45.0181,-74.7281,Ramada by Wyndham Cornwall
193,Port-Gentil,GA,75.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
194,Cabo San Lucas,MX,81.7,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
195,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
199,Punto Fijo,VE,86.4,clear sky,11.6956,-70.1996,Santa Fe Inn Hotel
206,Sao Filipe,CV,78.19,overcast clouds,14.8961,-24.4956,Hotel Xaguate
208,Bud,US,88.68,clear sky,39.447,-86.1758,Ted McQuinn Trust
214,Waddan,LY,86.43,clear sky,29.1614,16.139,محل الشريف محمد العايب
216,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
217,Vincennes,FR,80.92,clear sky,48.85,2.4333,Aparthotel Adagio Paris Vincennes
220,Laguna,US,88.0,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
223,Pochutla,MX,85.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
224,Celestun,MX,88.74,overcast clouds,20.8667,-90.4,Posada Lilia
226,Conde,BR,81.86,few clouds,-7.2597,-34.9075,Pousada Beija Flor
233,Cayenne,GF,87.84,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
241,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
242,Zhanaozen,KZ,78.21,overcast clouds,43.3,52.8,K.korabay 28A
245,Gallup,US,87.03,clear sky,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
246,Beruwala,LK,78.69,overcast clouds,6.4788,79.9828,The Palms Hotel
249,Awjilah,LY,88.77,clear sky,29.1081,21.2869,المنزل
251,Porbandar,IN,81.23,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
255,Srandakan,ID,75.63,overcast clouds,-7.9386,110.2506,Puri Brata
257,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
258,Trelaze,FR,81.05,clear sky,47.45,-0.4667,Logis Hôtel de Loire Rest. les Bateliers
263,Kaduqli,SD,76.96,overcast clouds,11.0167,29.7167,Nussyba
265,Washington,US,82.56,clear sky,47.5001,-120.5015,Sky Meadows Bed & Breakfast
268,Jimeta,NG,75.63,overcast clouds,9.2833,12.4667,Yola International Hotel
274,Fare,PF,79.27,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
276,Bartica,GY,80.92,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
278,Porto Novo,BJ,78.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
280,Kavieng,PG,81.99,clear sky,-2.5744,150.7967,Nusa Island Retreat
282,Mindelo,CV,83.75,broken clouds,16.8901,-24.9804,Hotel Gaudi
284,Isawa,JP,75.38,broken clouds,35.65,138.6333,旅館 深雪温泉
286,Huron,US,77.67,overcast clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
289,Muscat,OM,89.62,scattered clouds,23.6139,58.5922,Mutrah Hotel
290,Itarema,BR,83.34,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
292,Acapetahua,MX,85.15,overcast clouds,15.2833,-92.7,Hotel Carmen
293,Fenyi,CN,80.11,clear sky,27.8112,114.6681,Jinhao Hotel
295,Salinopolis,BR,82.63,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
299,Fonte Boa,BR,80.46,overcast clouds,-2.4959,-66.2662,
303,Ponta Do Sol,PT,82.71,clear sky,32.6667,-17.1,Hotel do Campo
304,Padang,ID,77.32,overcast clouds,-0.9492,100.3543,Mercure Padang
305,Saint-Francois,FR,78.24,clear sky,46.4154,3.9054,Manoir Du Bonheur
310,Hiroshima,JP,75.4,overcast clouds,34.3963,132.4594,Oriental Hotel Hiroshima
311,Yining,CN,76.77,overcast clouds,29.0361,114.5636,Xiushui Hotel
312,Atar,MR,86.97,light rain,20.5169,-13.0499,Oumou Elghoura
316,Raska,RS,77.32,clear sky,43.2872,20.6153,Konak Lux Hotel
324,Oussouye,SN,80.78,light rain,12.485,-16.5469,Auberge du Routard
326,Alexandria,EG,78.49,clear sky,31.2156,29.9553,Royal Crown Hotel
327,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
330,Viana,BR,80.37,clear sky,-20.3903,-40.4961,Casa da Lita
333,Trat,TH,80.91,overcast clouds,12.5,102.5,สวนหนิง-อัศ
335,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
339,Banka,IN,83.05,overcast clouds,24.8833,86.9167,Hotel Krrish Inn
342,Hirara,JP,84.85,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
352,Marsaxlokk,MT,81.63,clear sky,35.8419,14.5431,Water's Edge
362,Touros,BR,79.83,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
363,Maceio,BR,76.77,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
364,Meulaboh,ID,77.67,overcast clouds,4.1363,96.1285,Kost Pria
368,Naze,JP,77.88,overcast clouds,28.3667,129.4833,Shishime Hotel
369,Sao Gabriel Da Cachoeira,BR,85.8,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
372,Buyukcavuslu,TR,75.4,clear sky,41.2423,28.0646,Villa Güçiü Boutique Hotel
376,Jevargi,IN,76.39,overcast clouds,17.0167,76.7667,Khamadhenu Hotel
378,Lorengau,PG,81.18,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
381,Norwich,GB,78.98,clear sky,52.6278,1.2983,Holiday Inn Norwich City
382,Namatanai,PG,78.26,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
383,Bandarbeyla,SO,76.59,scattered clouds,9.4942,50.8122,JABIR HOTEL
384,Pandan Niog,PH,82.87,overcast clouds,6.2282,120.5631,
385,Champerico,GT,83.16,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
388,Shache,CN,85.59,clear sky,38.4167,77.2406,Delong Hotel
389,Muisne,EC,75.72,overcast clouds,0.6,-80.0333,Quinta Samay
390,Nisia Floresta,BR,78.21,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
391,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
392,Axim,GH,75.88,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
393,Lucapa,AO,76.66,scattered clouds,-8.4192,20.7447,Lírio Mendes
396,Las Rosas,AR,80.71,clear sky,-32.4766,-61.5804,Hotel El Portal
399,Acapulco,MX,86.72,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
405,Whitewater,US,87.35,clear sky,42.8336,-88.7323,Baymont by Wyndham Whitewater
406,Isangel,VU,75.47,clear sky,-19.55,169.2667,Tanna Lodge
407,Kutum,SD,87.01,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
408,Glendive,US,82.49,clear sky,47.1053,-104.7125,Super 8 by Wyndham Glendive
411,Ushtobe,KZ,76.15,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
413,Mathbaria,BD,80.08,light rain,22.2876,89.9593,Shikdar Hotel
416,Sechura,PE,75.4,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
417,Zhezkazgan,KZ,75.7,clear sky,47.8043,67.7144,Hotel Zumrat
420,Zhangye,CN,75.29,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
422,Singkang,MY,75.06,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
423,Kayes,ML,85.32,overcast clouds,14.0,-11.0,
424,Ugoofaaru,MV,81.99,overcast clouds,5.6667,73.0,Ungoofaaru Inn
425,Trapani,IT,84.27,clear sky,37.8333,12.6667,
428,Moses Lake,US,88.88,clear sky,47.1301,-119.2781,Ramada by Wyndham Moses Lake
430,Mogadishu,SO,76.14,light rain,2.0371,45.3438,Hotel Juba
434,Thinadhoo,MV,81.99,overcast clouds,0.5333,72.9333,
441,Merrill,US,82.67,overcast clouds,45.1805,-89.6835,Prairie Motel
443,Houma,US,90.0,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
445,Kinablangan,PH,77.88,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
448,Inirida,CO,80.91,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
449,Fukue,JP,79.0,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
451,Halifax,CA,79.12,few clouds,44.6453,-63.5724,Hotel Halifax
452,Sinnamary,GF,83.57,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
453,Kirakira,SB,77.47,few clouds,-10.4544,161.9205,SanBiz Lodge
456,Honiara,SB,76.1,scattered clouds,-9.4333,159.95,Heritage Park Hotel
457,Phuntsholing,BT,77.02,overcast clouds,26.8516,89.3884,Hotel White House
458,Saint Anthony,US,77.79,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
459,Pombas,CV,82.18,broken clouds,17.1503,-25.0201,Paul Paradis
464,Mlonggo,ID,75.69,overcast clouds,-6.5333,110.7,Asia Metal Art
465,Faanui,PF,79.5,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
