City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Broome,US,2022-07-23 18:45:05,42.2506,-75.833,94.01,40,0,11.5,clear sky
232,Nanortalik,GL,2022-07-23 18:46:05,60.1432,-45.2371,45.32,88,98,10.49,overcast clouds
233,Cayenne,GF,2022-07-23 18:46:05,4.9333,-52.3333,87.84,1,40,12.66,scattered clouds
234,Charters Towers,AU,2022-07-23 18:46:06,-20.1,146.2667,54.64,83,0,5.57,clear sky
235,Menongue,AO,2022-07-23 18:46:06,-14.6585,17.691,63.63,32,65,4.52,broken clouds
236,Leningradskiy,RU,2022-07-23 18:46:07,69.3833,178.4167,34.66,92,100,9.46,overcast clouds
237,Vestmannaeyjar,IS,2022-07-23 18:46:07,63.4427,-20.2734,54.41,85,100,7.96,overcast clouds
238,Provideniya,RU,2022-07-23 18:46:07,64.3833,-173.3,43.88,85,98,8.03,overcast clouds
239,Ucluelet,CA,2022-07-23 18:45:40,48.9329,-125.5528,62.46,74,7,5.57,clear sky
240,Tura,IN,2022-07-23 18:46:08,25.5198,90.2201,74.34,98,100,5.79,light rain
241,Kloulklubed,PW,2022-07-23 18:46:08,7.0419,134.2556,77.5,76,100,13.73,overcast clouds
242,Zhanaozen,KZ,2022-07-23 18:41:15,43.3,52.8,78.21,42,93,25.61,overcast clouds
243,Vardo,NO,2022-07-23 18:46:09,70.3705,31.1107,51.78,87,75,11.5,broken clouds
244,Airai,TL,2022-07-23 18:46:09,-8.9266,125.4092,51.4,85,89,1.57,overcast clouds
245,Gallup,US,2022-07-23 18:46:09,35.5281,-108.7426,87.03,33,0,8.05,clear sky
246,Beruwala,LK,2022-07-23 18:46:10,6.4788,79.9828,78.69,87,99,10.47,overcast clouds
247,Pokhara,NP,2022-07-23 18:46:10,28.2333,83.9833,71.69,89,100,4.29,overcast clouds
248,Mayo,US,2022-07-23 18:44:16,38.8876,-76.5119,98.37,56,0,9.22,clear sky
249,Awjilah,LY,2022-07-23 18:45:03,29.1081,21.2869,88.77,23,0,12.53,clear sky
250,Longyearbyen,SJ,2022-07-23 18:45:01,78.2186,15.6401,49.84,87,75,8.05,broken clouds
251,Porbandar,IN,2022-07-23 18:46:11,21.6422,69.6093,81.23,85,100,20.09,overcast clouds
252,Taksimo,RU,2022-07-23 18:46:11,56.3444,114.8794,63.21,89,1,3.09,clear sky
253,Kitui,KE,2022-07-23 18:46:11,-1.367,38.0106,63.25,67,35,9.22,scattered clouds
254,Sisimiut,GL,2022-07-23 18:46:12,66.9395,-53.6735,45.64,86,100,5.3,overcast clouds
255,Srandakan,ID,2022-07-23 18:46:12,-7.9386,110.2506,75.63,87,88,8.77,overcast clouds
256,Port Shepstone,ZA,2022-07-23 18:46:12,-30.7414,30.455,65.84,84,81,18.21,light rain
257,Bairiki,KI,2022-07-23 18:46:13,1.3292,172.9752,80.6,78,20,9.22,few clouds
258,Trelaze,FR,2022-07-23 18:46:13,47.45,-0.4667,81.05,39,0,3.44,clear sky
259,Benguela,AO,2022-07-23 18:46:14,-12.5763,13.4055,70.36,88,100,3.04,overcast clouds
260,Fairview,US,2022-07-23 18:43:07,40.8126,-73.999,98.62,32,0,10.36,clear sky
261,Quelimane,MZ,2022-07-23 18:46:14,-17.8786,36.8883,71.55,78,20,4.61,few clouds
262,Yulara,AU,2022-07-23 18:46:14,-25.2406,130.9889,57.67,38,0,5.55,clear sky
