City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Rusape,ZW,2022-07-22 21:07:23,-18.5278,32.1284,50.47,81,7,5.06
122,Hermanus,ZA,2022-07-22 21:07:23,-34.4187,19.2345,54.81,88,100,13.51
123,Ahipara,NZ,2022-07-22 21:07:23,-35.1667,173.1667,51.01,80,100,8.05
124,Moron,AR,2022-07-22 21:07:24,-34.6534,-58.6198,62.94,75,2,4.52
125,Nome,US,2022-07-22 21:03:29,64.5011,-165.4064,46.17,95,100,14.23
126,Cherskiy,RU,2022-07-22 21:07:24,68.75,161.3,44.64,61,11,3.89
127,Mogadishu,SO,2022-07-22 21:07:25,2.0371,45.3438,75.88,81,29,17.87
128,Nemuro,JP,2022-07-22 21:07:25,43.3236,145.575,58.28,97,100,13.35
129,Rundu,NA,2022-07-22 21:07:25,-17.9333,19.7667,60.31,48,8,7.05
130,Puerto Escondido,MX,2022-07-22 21:07:26,15.85,-97.0667,85.42,68,100,6.04
131,New Norfolk,AU,2022-07-22 21:07:26,-42.7826,147.0587,49.91,85,100,2.3
132,Rio Grande,BR,2022-07-22 21:07:27,-32.035,-52.0986,62.71,98,100,4.72
133,Talaya,RU,2022-07-22 21:07:27,61.3833,152.75,57.47,57,6,1.61
134,Kerema,PG,2022-07-22 21:07:28,-7.9631,145.7785,76.06,90,31,3.09
135,Russell,US,2022-07-22 21:07:28,32.3502,-85.1999,90.01,88,100,3.44
136,Coquimbo,CL,2022-07-22 21:07:28,-29.9533,-71.3436,55.13,87,100,5.75
137,Kahului,US,2022-07-22 21:08:29,20.8947,-156.47,87.82,59,20,19.57
138,Guapore,BR,2022-07-22 21:08:29,-28.8456,-51.8903,64.85,91,88,0.96
139,Turukhansk,RU,2022-07-22 21:08:29,65.8167,87.9833,59.02,78,11,13.31
140,Pangnirtung,CA,2022-07-22 21:08:30,66.1451,-65.7125,55.35,55,9,3.49
141,Conceicao Da Barra,BR,2022-07-22 21:08:30,-18.5933,-39.7322,70.47,80,0,5.17
142,Kankan,GN,2022-07-22 21:08:30,10.3854,-9.3057,72.84,94,100,2.42
143,Iqaluit,CA,2022-07-22 21:08:31,63.7506,-68.5145,41.94,80,97,7.14
144,Verkhnevilyuysk,RU,2022-07-22 21:08:31,63.4453,120.3167,62.04,89,100,4.34
145,Sur,OM,2022-07-22 21:08:31,22.5667,59.5289,87.21,67,97,9.73
146,Naze,JP,2022-07-22 21:08:32,28.3667,129.4833,76.71,82,37,7.16
147,Bull Savanna,JM,2022-07-22 21:08:32,17.8868,-77.5902,85.24,65,38,17.38
148,Albany,US,2022-07-22 21:07:17,42.6001,-73.9662,91.45,46,36,12.06
149,Talnakh,RU,2022-07-22 21:08:33,69.4865,88.3972,61.21,57,66,5.08
150,Suntar,RU,2022-07-22 21:08:33,62.1444,117.6319,60.64,92,99,4.29
